Program name,Level,Program Page url
Accounting,Master's,https://cba.k-state.edu/academics/accounting/macc/
Adult Learning and Leadership,Master's and doctoral,https://coe.k-state.edu/academics/graduate/adult-learning-and-leadership/
Agribusiness,Master's,https://mab.k-state.edu/
Agricultural and Extension Education and Communication,Certificate,https://www.cals.k-state.edu/academics/ageduc/graduate/certificates/agricultural-education.html
Agricultural Economics,Master's and doctoral,https://www.ageconomics.k-state.edu/academics/graduate/
Agricultural Education and Communication,Master's,https://www.k-state.edu/grad/academics/degree-programs/ag-ed-comm/
Agronomy,Master's and doctoral,https://www.agronomy.k-state.edu/academics/graduate/
Anatomy and Physiology,Master's and doctoral,https://www.vet.k-state.edu/academics/ap/graduate/
Animal Sciences and Industry,Master's and doctoral,https://www.asi.k-state.edu/academics/graduate-program/index.html
Anthropology,Master's,https://www.k-state.edu/sasw/anth/ma/
Apparel and Textiles,Master's and doctoral,https://www.heid.k-state.edu/academics/grad/
Applied Family Science,Master's,https://global.k-state.edu/courses/masters/applied-family-science/
Architectural Engineering,Master's,https://engg.k-state.edu/are-cns/academics/graduate/
Architecture,Master's,https://apdesign.k-state.edu/arch/programs/master-of-architecture/
Art,Master's,https://www.k-state.edu/grad/academics/programs/art/
Art History,Master's and certificate,https://art.k-state.edu/academics/graduate/art-history/
Biochemistry,Master's and doctoral,https://www.k-state.edu/grad/academics/programs/biochemistry/
Biochemistry and Molecular Biophysics,Doctoral,https://www.bmb.k-state.edu/graduate/
Bioinformatics,Certificate,https://www.k-state.edu/bioinfo/academics/graduate-certificate/
Biological and Agricultural Engineering,Master's and doctoral,https://www.bae.k-state.edu/graduate/
Biology,Master's and doctoral,https://www.k-state.edu/biology/grad/
Biomedical Science,Doctoral,https://www.vet.k-state.edu/education/graduate/biomed/
Biosecurity,Certificate,https://global.k-state.edu/ag/biosecurity/
Business Administration,Master's and doctoral,https://cba.k-state.edu/academics/graduate/index.html
Chemical Engineering,Master's and doctoral,https://www.che.ksu.edu/academics/grad/
Chemistry,Master's and doctoral,https://www.k-state.edu/chem/academics/graduate/
Civil Engineering,Master's and doctoral,https://ce.k-state.edu/academics/graduate/
College Student Development,Master's,https://coe.k-state.edu/academics/graduate/college-student-development/
Communication Studies,Master's,https://www.k-state.edu/commstudies/graduate/
Community Development,Master's,https://online.k-state.edu/programs/community-development-masters/
Comparative Pathobiology,Doctoral,https://www.vet.k-state.edu/education/dmp/graduate/phd-program.html
Computer Science,Master's and doctoral,https://cs.k-state.edu/graduate/
Conflict Analysis and Trauma Studies,Certificate,https://www.k-state.edu/security-studies/academics/graduate/CATS/
Conflict Resolution,Master's and certificate,https://www.k-state.edu/conflict-resolution/
Counseling and Student Development,Doctoral,https://coe.k-state.edu/academics/departments/special-education-counseling-student-affairs/counseling-student-development/phd-counseling-student-development.html
