Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Master of Arts in Applied History and Public Humanities,https://www.uakron.edu/academics_majors/graduate_programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Certificate in Applied Politics,https://www.uakron.edu/academics_majors/graduate_programs/,,,"To be admitted to the certificate program, a student must have a baccalaureate degree from an accredited institution of higher learning. Students must meet the standards for admission to The University of Akron Graduate School (including a 2.75 minimum undergraduate GPA). No GRE scores are required for admission into the certificate program.",,True,False,False,False,False,False,,,program,
Master of Arts in Arts Administration,https://www.uakron.edu/dtaa/artsadmin/,Required,Required,"To be considered for admission, you will need to complete the following steps:

- Complete the online application
- Pay the application fee
- Submit transcripts from all colleges and universities attended.
- Three letters of recommendation
- A current resume or curriculum vitae
- A statement of purpose (a two-page essay addressing your interest in the program and your career goals).
- International applicants: please note additional requirements.",Not Required,True,False,True,False,False,False,,,program,
Master of Arts in English: Composition,https://www.uakron.edu/academics_majors/graduate_programs/,Not Required,Required,"To be considered for admission to the Master of Arts in English program, a student must have a bachelor's degree from an accredited college or university. Usually, this is a degree in English, with at least 24 semester credits in English beyond the first-year composition courses. Students who do not have an undergraduate major in English may be considered for admission if their records show evidence of ability to do graduate work in English. Such students may be required to take some undergraduate English courses to provide an adequate background for their graduate studies. The Department of English does not require Graduate Record Examination (GRE) scores for admission to the MA program. The basic requirements for an application are: A completed online application to The University of Akron Graduate School; Transcripts from all colleges and universities attended; Three letters of recommendation; A statement of purpose; A writing sample.",Required,True,False,,False,False,False,,,program,
Master of Arts in English: Literature,https://english.osu.edu/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Geology,https://bulletin.uakron.edu/graduate/colleges-programs/arts-sciences/geosciences/geology-ms/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Integrated Bioscience,https://www.uakron.edu/academics_majors/graduate_programs/,Required,Required,"A four-year baccalaureate degree (or its equivalent in other countries) in a science, technology, engineering, or mathematics discipline, from an accredited college or university. A GPA of at least 3.0 out of 4.0. Transcripts. Statement of purpose. Three letters of recommendation. Curriculum vitae (CV) or resume. GRE is optional. TOEFL/IELTS for international students.",,False,True,False,True,False,False,,,program,
Master of Science in Mathematics: Applied Mathematics,https://science.indianapolis.iu.edu/academics/degrees-and-programs/_degrees/mathematics-ms-iupui-mathms.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Arts in Political Science: Applied Politics,https://www.uakron.edu/academics_majors/graduate_programs/,Not Required,Required,"To be considered for admission, applicants must have a bachelor’s degree from an accredited institution. A grade point average of 3.0 on a 4.0 scale is required. However, students with a GPA between 2.75 and 3.0 may be considered for conditional admission. In addition, applicants should submit: Three letters of recommendation from college instructors who are familiar with your academic work. A statement of purpose (no more than 500 words) that describes your reasons for seeking a master’s degree in applied politics at The University of Akron. A sample of your written academic work (e.g., a term paper from an upper-division course).",Required,True,False,True,False,False,False,,,program,
Master of Science in Polymer Engineering,https://www.uakron.edu/polymer/programs/ms-polymer-engineering,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
