Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Not Required,Not Required,"For the B.S. degree in Accounting, a minimum of 120 credits is required. Entrance to the major requires a minimum cumulative grade-point average (GPA) and the completion of specific core courses with a grade of C or better, including: Financial and Managerial Accounting (ACCTG 211), Introductory Microeconomic Analysis and Policy (ECON 102), Rhetoric and Composition (ENGL 15 or ENGL 30), Techniques of Calculus I (MATH 110 or MATH 140), and Introduction to Statistics (SCM 200 or STAT 200). First-year applicants must submit a Self-Reported Academic Record (SRAR).",Not Required,True,True,False,False,False,,,program,Bachelor of Science in Accounting,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Required,,"Entrance to the Acting major is by audition. Enrollment in the B.F.A. Acting program is limited. To be considered for admission, students must first apply to the University by completing the Penn State undergraduate application and also schedule an audition with the School of Theatre. For some programs, a pre-screening is required.",,True,True,False,False,False,,,program,Bachelor of Fine Arts in Acting,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/acting-bfa/acting-bfa.pdf
,,"Entrance to Major (ETM) Requirements: For entrance to the Actuarial Science major (ACTSC_BS), students must: (1) meet with an academic adviser and establish a plan of study; (2) have a minimum cumulative grade-point average of 3.20; and (3) complete the following courses with a grade of C or better: ACCTG 211, ECON 102, ENGL 15 or ENGL 30H, MATH 140, MATH 141, and STAT 200.",,False,True,True,False,False,,,program,Bachelor of Science in Actuarial Science,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/
,,"To be eligible for entrance to the Advertising/Public Relations major, a student must: (1) have completed at least 29.1 credits; (2) have a minimum cumulative grade-point average of 2.00; (3) have completed COMM 160 and COMM 180 with a grade of C or better.",,True,True,False,False,False,,,program,Bachelor of Arts in Advertising and Public Relations,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/advertising-public-relations-ba_suggestedacademicplantext.pdf
,,"To be eligible for entrance to the Aerospace Engineering major, a student must: (1) have completed MATH 140, MATH 141, PHYS 211, and CHEM 110 with a grade of C or better; (2) have completed at least two of the following: EMCH 211, EMCH 212, and/or MATH 220, MATH 230, MATH 231, MATH 250, MATH 251 with a grade of C or better; (3) have earned a minimum cumulative grade-point average of 3.00. This GPA requirement may change each year.",,True,True,True,False,False,,,program,Bachelor of Science in Aerospace Engineering,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"First-year applicants to Penn State must submit the following for admission: an application (MyPennState or Common App), the Self-Reported Academic Record (SRAR), and standardized test scores (SAT or ACT) are optional through the Fall 2025 semester. High school unit requirements include: 4 units of English, 3 units of Mathematics, 3 units of Science, 3 units of Social Studies, and 2 units of a World Language.",Not Required,True,True,False,False,False,,,program,Bachelor of Arts in African American Studies,https://apply.psu.edu/register/form?id=83b869b8-cff5-4374-bac6-f6012e7b123c
,,"In order to be eligible for entrance to the African Studies major, a student must: have attained at least a 2.00 cumulative grade-point average. For the Bachelor of Arts degree in African Studies, a minimum of 123 credits is required, 24 of which must be at the 400 level.",,True,False,False,False,False,,,program,Bachelor of Arts in African Studies,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"Entrance to the Agribusiness Management major requires a minimum cumulative grade-point average of 2.00 and the completion of at least 29.1 credits. For first-year admission, applicants must meet the following high school unit requirements: four units of English, three units of mathematics (including algebra, geometry, and trigonometry), three units of science, three units of social studies, and two units of a single world language. Applicants must submit a high school transcript or Self-Reported Academic Record (SRAR).",Not Required,True,True,False,False,False,,,program,Bachelor of Science in Agribusiness Management,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"In order to be eligible for entrance to this major, a student must: have attained at least a 2.00 cumulative grade point average. The first two years of the program are designed to provide a sound foundation in the mathematical, physical, and biological sciences. During the third and fourth years, students complete the core requirements and select technical electives in their areas of interest. General undergraduate admission requires a completed application and the Self-Reported Academic Record (SRAR).",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Agricultural and Biorenewable Systems Management,https://abe.psu.edu/undergraduate/majors
,,"To be eligible for admission to the Agricultural and Extension Education major, students must: 1. have completed at least 29 credits; 2. have a cumulative grade point average of at least 2.00; 3. have completed ENGL 15 or ENGL 30; 4. have completed 3 credits of Mathematics (GQ).",,True,True,False,False,False,,,program,Bachelor of Science in Agricultural and Extension Education,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
