Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Concentration.1,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Arts in Applied Sociology,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Graduate Degree-Seeking Application, including:* Residency Form Goal Statement Official Transcript, showing:* Conferral of Bachelor's degree* Minimum undergraduate GPA of 3.0. Writing Sample From coursework in sociology or a related discipline. Applicants can submit any course paper, thesis, or capstone project that best represents their skills in research and writing. Resume Two (2) Letters of Recommendation.",Required,,True,False,True,,False,False,,True,False,False,False,True,True,,False,False,,,,"College of Arts, Humanities, and Social Sciences",,,,,,,,,,"The Master of Arts in Applied Sociology at UMBC is a qualitative-focused graduate program where students learn the interplay of core theories, methods, research, and service in the social sciences. The program emphasizes the 'practical side' of sociology and the acquisition of analytical skills for employment in various professional settings, including public and private organizations involved in social research, policy, and program development. [7, 8] It is designed to help sociologists advance their careers and professional skills, with a focus on methodology and statistics across topics like health, medicine, aging, diversity, equity and inclusion, and applied research methods. [8] Students are prepared to become 'embedded sociologists' who conduct change-oriented research in communities or organizations. [13]",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,"University of Maryland, Baltimore County (UMBC) is an accredited institution and a member of the Middle States Commission on Higher Education (MSCHE). [12] The university's accreditation was reaffirmed on March 2, 2017. [12] No specific accreditation for the Master of Arts in Applied Sociology program is mentioned on the university's accreditation page. [12]",,,FALSE,False,2,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,58.0,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Education,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"The Master of Arts in Education (MAE) is a 36-credit, 12-course program for educators who already have teaching experience and hold a teaching certificate. [5, 16] It is designed to help experienced teachers prepare for roles in educational and curricular leadership, curriculum development, and in-service teacher professional development. [10] Applicants are expected to have an undergraduate degree with a GPA of 3.0 or higher, a teaching certificate, and provide three professional or academic references. [11] A statement of purpose/goals is also required. [11]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,"Early Childhood Education, Elementary Education, Reading/Literacy, Secondary Education, Mathematics Education, Science Education, Teaching English to Speakers of Other Languages (TESOL)","The Master of Arts in Education is a degree program for educators who wish to enhance their career through advanced professional knowledge. This program does not lead to initial teacher certification. UMBC’s Master of Arts in Education (M.A.Ed.) is designed to meet the needs of teachers and other professionals in education. The program is committed to preparing educators for a variety of roles in an ever-changing, diverse, and technologically complex world. At the heart of our work is a commitment to social justice and a dedication to meeting the needs of all learners.",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,The Master of Arts in Education programs are not CAEP accredited.,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Education with a concentration in STEM Education,,,,,Graduate,Fall 2026,,,,Required,Required,,,"In addition to the general university requirements for admission to the Graduate School, the following are required:

*   A minimum undergraduate GPA of 3.0 on a 4.0 scale.
*   Official transcripts from all post-secondary institutions are to be sent to the Graduate School.
*   A completed application including a resume, a statement of purpose outlining the applicant’s goals and three letters of recommendation.
*   Standardized tests (e.g., GRE) are not required for an application to be considered complete.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Department of Education,,,,,,,,,STEM Education,"The Master of Arts in Education (M.A.E.) is a graduate program for certified teachers or other educators who are interested in expanding their content knowledge, pedagogical content knowledge and leadership skills. The program is designed for educators who are committed to their own professional growth and the mentoring of other teaching professionals. With the program’s emphasis on teacher leadership, the program is ideal for those who aspire to become leading teachers in their content area. The M.A.E. program combines the study of education and the academic disciplines of mathematics, science or STEM (Science, Technology, Engineering and Mathematics). Through UMBC’s partnerships with local school systems, M.A.E. cohort programs can be customized to meet the needs of a participating school district.",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Historical Studies,,,,,Graduate,Fall 2026,,,,,Required,Not Required,REQUIRED,"The process of strengthening your graduate school application starts while you are still an undergraduate. Here is a timeline and suggestions for avenues to explore while you are pursuing your undergraduate degree.

Freshman and sophomore years. Assess your interests, abilities, and career goals; Identify a mentor; Look into graduate school preparation events (e.g., boot camps, pre-application campus visits, summer programs).

Junior year. Gather information on graduate programs; Gather application materials; Learn about entrance examination requirements and dates; Investigate application deadlines.

Pre-Senior Summer. Narrow your list of graduate schools; Investigate funding sources; Write the first draft of your statement of purpose; Contact recommendation sources.

Senior year (Start Early). Select the schools you want to apply to; Register for entrance exams; Submit completed applications. [1]",,,False,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"College of Arts, Humanities, and Social Sciences",,,,,,,,,,,,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Intercultural Communication,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applicants seeking admission to the MAICC should have a bachelor’s degree in a relevant field with a strong academic record (minimum 3.0 GPA out of 4) from a recognized university. Applicants are required to submit an IELTS score of 6.5 or a TOEFL score of 79 in order to demonstrate their proficiency in English. Applicants can be exempt from this requirement if they meet one of the conditions listed below:.

Academic transcripts. [1]

Official electronic copies of transcripts should be submitted as part of the online application. [1]
Final transcripts and graduation statements are required for all previous university studies. [1]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"College of Arts, Humanities, and Social Sciences",,,,,,,,,,"The Department of Modern Languages, Linguistics and Intercultural Communication (MLLI) offers a program leading to an M.A. in Intercultural Communication. This program provides a core of theory and research in the fields of linguistics and intercultural communication, combined with a related block of courses in one of three concentrations: applied linguistics and second language acquisition research, intercultural training in public and private sector contexts or for specific purposes (e.g., modern language or English-as-a-second-language instruction, translation/interpreting) or cultural studies (e.g., analysis of French and Francophone, Hispanic, German, or Russian cultures).",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Learning and Performance Technology,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,A bachelor's degree in any subject and 3.0 GPA or above on a 4.0 scale. [3],Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Division of Professional Studies,,,,,,,,,,"The Master of Arts in Learning and Performance Technology is a graduate program offered by the University of Maryland, Baltimore County (UMBC). [1] This program is designed to provide students with the knowledge and skills necessary to design, deliver, support, and measure training, learning, and performance within organizations. [1] Learning and Performance Technology (LAPT), formerly named ISD, is one of UMBC's most established graduate programs. [4] Our online certificates and master's programs provide an innovative and career-focused curriculum. [4] We offer all courses in an online format to accommodate the schedules of busy working professionals. [4] If you are interested in solving problems in organizations by designing, delivering, supporting, and measuring training, learning, and performance within organizations, the LAPT graduate program at UMBC will prepare you to do exactly that. [4] The Master of Arts in Learning and Performance Technology (previously ISD) requires a minimum of 36 credits hours. [2] Students must complete seven required core courses (totaling 21 credits), five elective courses (totaling 15 credits) and complete a professional portfolio. [2]",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80,,,,,,,,,,,,,"UMBC participates in all federal and state student financial aid programs and offers scholarships and assistantships through the Graduate School, Graduate Departments and the Office of Financial Aid and Scholarships. [19]",FALSE,,,FALSE,FALSE,,,
,Master of Arts in Management of Aging Services,,,,,Graduate,Fall 2026,,,,Required,,Not Required,REQUIRED,"The graduate programs at the Erickson School of Aging Studies provide integrated, interdisciplinary professional training for leaders in the growing longevity economy. Graduates will meet a growing workforce need for leaders with professional education to serve in management positions in public, private, and non-profit/advocacy organizations providing services to older adults. [8]",,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,UMBC Erickson School of Aging Studies,,,,,,,,,,"The curriculum consists of a blend of core courses which draw from and integrate our three focal areas, inclusive of their history, theory, current knowledge base and fundamental analytic/practice skills. Upon completion of the requirements for the proposed degree, the student will be able to: 

*   Exercise a holistic set of skills and knowledge that integrates management, policy, and aging.
*   Apply core management fundamentals of strategy, marketing, operations, finance and accounting to aging services organizations across the private, public and non-profit sectors.
*   Demonstrate a knowledge of normal human aging on the individual level, including social, psychological and physical aspects.
*   More effectively provide leadership to their organizations and manage other individuals.
*   Understand the societal implications of an aging population for public policy, the economy and major social institutions.
*   Evaluate a broad range of organizational outcomes utilizing research, policy and business criteria for performance.
*   Effectively apply critical thinking, effective communication and creative problem solving to their organizations.
*   Describe in detail the existing array of public sector aging services programs, the role of policy in shaping their future roles and impacts, and the emergent private sector organizations developing desired services for this population.",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,"80 (Internet-based), 550 (Paper-based)",,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Teaching,,,,,Graduate,Fall 2026,,,,Required,Required,,,"Applicants must be accepted and admitted to the UMBC Graduate School and the UMBC Department of Education. Minimum admission requirements include an undergraduate GPA of 2.75 for admission and 3.0 for internship. [7] The first step in the application process is to schedule a personal interview with an advisor of the program and submit transcripts of all prior undergraduate and graduate study for analysis. [7, 8]",Not Required,,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Department of Education,,,,,,,,,,,,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Teaching English to Speakers of Other Languages (TESOL),,,,,Graduate,Fall 2026,,,,Optional,Required,,,"In addition to the general requirements of the Graduate School, the following are required for the M.A. in TESOL program:


	* A bachelor’s degree from a regionally accredited institution with a minimum undergraduate GPA of 3.0 on a 4.0 scale.
	* A statement of purpose (500 words).
	* A summary of the applicant’s experience learning and/or teaching languages (This can be part of the statement of purpose or a separate C.V./resume.)
	* Three letters of recommendation.
	* For non-native speakers of English, a minimum TOEFL score of 96 (with a minimum of 23 on the combined listening and speaking sections and 22 on the reading and writing sections) on the internet-based test (iBT). As an alternative to the TOEFL, we also accept the International English Language Testing System (IELTS). The minimum acceptable score is 7.0, with a minimum of 6.5 on all sections (Listening, Reading, Writing, and Speaking).


Official GRE scores are not required for admission.",,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,"College of Arts, Humanities, and Social Sciences",,,,,,,,,,,,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Master of Arts in Texts, Technologies, and Literature",,,,,Graduate,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,Applicants must have a bachelor’s degree from a regionally accredited university. A minimum undergraduate GPA of 3.0 is required. The application also requires three letters of recommendation and a sample of critical writing (15-20 pages).,Required,,True,False,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"College of Arts, Humanities, and Social Sciences",,,,,,,,,,"Provides students with the opportunity for advanced study of texts, technologies, and literature. Students will explore a range of literatures in English and a variety of textual forms, media and practices in relation to their cultural contexts. They will also develop advanced skills in reading, analyzing and writing about texts, from the lyric poem to digital work in multimedia. Additionally, students will have the opportunity to study language in use in various settings, or to specialize in the study of communication or the teaching of composition.",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,53.0,,80,,,,,,,,,,,,,scholarships and assistantships,FALSE,,,FALSE,FALSE,,,
