Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,"Doctor of Education in Curriculum and Instruction, Elementary Education",,,,,Doctoral,Fall 2026,,,,Required,Required,,,"For the Ph.D. in Curriculum and Instruction, applicants are expected to have a master's degree in education or a related field, a minimum graduate GPA of 3.3, and at least three years of relevant professional experience. The application requires a resume/CV, a statement of purpose, a writing sample, and three letters of recommendation. The statement of purpose should outline your academic and professional background, research interests, and career goals, and also identify one or two faculty members whose research aligns with your interests. The writing sample should be a single-authored scholarly piece. GRE scores are not required for admission.",Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,"The Ph.D. Program in Curriculum and Instruction is designed to develop scholarly leaders who can creatively and critically address the myriad of challenges and possibilities in education. With a focus on research, theory, and practice, the program prepares graduates for roles as university faculty, researchers, and leaders in a variety of educational institutions. Students in the program engage in rigorous inquiry, exploring diverse perspectives on curriculum, teaching, and learning. The program is tailored to individual interests, allowing students to work closely with faculty to design a course of study and research that aligns with their professional goals.",,https://graduateschool.vt.edu/academics/programs.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Education in Educational Leadership and Policy Studies,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Liberal Arts and Human Sciences,,,,,,,,,"The Educational Leadership and Policy Studies a leading program designed for aspiring educational leaders and future faculty in educational leadership and policy studies. [7] The vast majority of our doctoral students pursue the Ed.D., though a Ph.D. option is available. For over fifty years, the Virginia Tech Educational Leadership and Policy Studies Parental Program has prepared aspiring educational administrators throughout the Commonwealth. Ed.D. graduates leave with the skills they need to lead ethically; advance equity and social justice in educational settings; consider and implement educational policy; lead innovative practices; communicate with diverse constituents; and improve the learning and well-being of all PK-12 students. [6, 9] The program is designed for working professionals, our programs can be completed on a part- or full-time basis, with coursework that incorporates modern theories with real-life practice. [7]",,https://graduateschool.vt.edu/academics/programs.html,"Our Educational Leadership & Policy Studies Program is accredited by the Council for the Accreditation of Educator Preparation. Since 2015, the program has been a member of the University Council for Educational Administration (UCEA), a consortium of higher education institutions committed to the advancement of educational leadership. [2]",,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,90,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Education in Integrative STEM Education,,,,,Doctoral,Fall 2026,,,,Required,,Not Required,REQUIRED,"A master's degree from an accredited college or university with an earned GPA of 3.3 (on a 4.0 scale). [1] Three letters of recommendation are required. [1] Once your graduate school application is accepted, the program leader will contact you for a faculty interview (either face-to-face or online). [1]",Required,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Liberal Arts and Human Sciences,,,,,,,,,"The Integrative STEM Education Doctoral program (Ed. D. or Ph. D.) Is designed for students who already hold a Master's Degree in education or STEM fields. [1] Either of the Ed. D. or Ph. D. programs will help you build on your existing knowledge and experience as you expand your understanding of STEM education by researching aspects related to integrative strategies for teaching STEM concepts. [1] This degree path is best suited for students who are interested in pursuing a career in fields related to educational research, postsecondary education, teacher education, or educational leadership and administration. [1] In the Integrative STEM Education Doctoral program, we emphasize the interconnectedness of science, technology, engineering, and mathematics disciplines as we help our students explore teaching and learning methods. [1] Real-world problems are rarely limited to a single school subject, and, as educators, we must help our students develop the ability to transfer skills and knowledge among subjects. [1] This holistic and integrative approach to teaching and learning is both more effective and more fun, for both teachers and students alike. [1] The Ed. D. is an applied degree, for those interested in leadership roles outside of academia. [1]",,https://graduateschool.vt.edu/academics/programs.html,,,,FALSE,True,,4.0,3.3,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,"90 (for tests taken prior to January 21, 2026)",,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Aerospace Engineering,,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"The application package must include a completed application form, a statement of purpose, official transcripts, a CV, and three letters of recommendation. [1]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Kevin T. Crofton Department of Aerospace and Ocean Engineering,,,,,,,,,"This research-oriented degree can focus on one or more specializations, including Areas of Expertise.",,https://graduateschool.vt.edu/academics/programs.html,,,,FALSE,True,,4.0,3.5,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,90,,,,,,,,,,,,,"Fellowships, Scholarships",FALSE,,,FALSE,FALSE,,,
,"Doctor of Philosophy in Alliance for Social, Political, Ethical, and Cultural Thought",,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"A master's degree with minimum GPA 3.5 (4 Scale); Overall GPA 3.3 (4 Scale) in undergraduate education; TOEFL /IELTS Required (If Applicable). [3, 7] Students may apply to ASPECT on the basis of actual completion of an M.A degree or equivalent (e.g., M.S, M.Arch., M.B.A., or J.D.) or of the promise that an M.A. degree or equivalent will be obtained prior to entering the ASPECT Ph.D. program. [7]",Required,,False,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Liberal Arts and Human Sciences,"$36,212/Year",,,,,,,"['Social Thought and Theory', 'Political Thought and Theory', 'Ethical Thought and Theory', 'Cultural Thought and Theory']","The ASPECT Ph. D. program fosters a critical engagement between domains of inquiry in the humanities, the social sciences, and the arts. [13] We bring together theoretical and empirical cross-disciplinary methodologies, concepts, salient issues, and analytical perspectives generated by ethical thought, cultural studies, political economy, social and political theory, intellectual history, critical world order studies, and aesthetics, performance arts and visual studies. [3] The Ph. D. curriculum concentrates on methodological and theoretical issues, as well as domains where social, political, ethical, and cultural thought are put to work in understanding social and individual transformations in contemporary and historical contexts. [3] Students pursuing the ASPECT Ph. D. select a major and a minor concentration chosen from among four areas: 1) social thought, 2) political thought, 3) ethical thought, and 4) cultural thought. [3] Additional ASPECT courses requirements offer education in interdisciplinary theory, methodology, and professional development. [3]",,https://graduateschool.vt.edu/academics/programs.html,,,"$1,812.25",FALSE,False,,4.0,3.5,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,59.0,,90,,,,,,,,,,,,,Graduate Teaching Assistantships and fellowships,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Animal Science,,,,,Doctoral,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,The School of Animal Sciences Graduate Program uses a holistic approach to admission. Our recommended metrics include an overall GPA of 3.0 and the GRE is encouraged with scores of 150 verbal and quantitative. The VT Graduate School requires a TOEFL score of 90. Materials are uploaded through the Graduate School portal. [16],Not Required,,True,True,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Animal Sciences,"In-state: $19,218/Year, Out-of-state: $36,212/Year","In-state: $19,218/Year, Out-of-state: $36,212/Year",,,,,,"['animal behavior & welfare', 'livestock business management', 'equine science', 'animal breeding and genetics', 'reproductive physiology', 'neurophysiology', 'embryology', 'nutrition', 'biotechnology']","To prepare for the wide variety of career opportunities in animal and poultry sciences, students choose from one of three options: animal behavior, pre-vet, or no option. These options incorporate studies in areas such as animal behavior & welfare, livestream stock-business management, equine science, animal breeding and genetics, reproductive physiology, neurophysiology, embryology, nutrition, and biotechnology. The curriculum combines applications of biological sciences with significant hands-on experience, along with opportunities to work on the campus livestock and poultry research units and in the labs. Students also choose to study one or more groups of animals such as companion animal, equine, poultry, or livestock (beef cattle, sheep, and swine). Careers are available in science, business, and animal agriculture, as well as pre-professional preparation for veterinary medicine, medical school, graduate school, etc., in physiology, genetics, nutrition, behavior, or biotechnology.",,https://graduateschool.vt.edu/academics/programs.html,,,"In-state: $876, Out-of-state: $1,760",FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,59.0,,80,,,,,,,,,,,,,"teaching or research assistantships, scholarships, external fellowships, fellowships tied to a specific institution, or loans",FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Animal Sciences and Husbandry,,,,,Doctoral,Fall 2026,,,,,,Optional,REQUIRED,,,,False,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Animal Sciences,,,,,,,,,"The School of Animal Sciences Graduate Program offers several degrees in multiple disciplines with programs of study tailored to fit the career objectives and interests of the students. [9] Our graduate students have diverse backgrounds and research interests with opportunities to conduct basic, applied, and computational research. [9] Additionally, graduate students have the the opportunity to gain classroom teaching experience and to participate in extension education programs along with their involvement in research programs. [9] The School resides in Litton-Reaves Hall, a modern, well-equipped, office building. [9] In addition to offices, it includes extensive laboratory and classroom facilities designed to support research, teaching, and extension programs. [9]",,https://graduateschool.vt.edu/academics/programs.html,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,59.0,,90,,,,,,,,,,,,,"Assistantships, Scholarships",FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Architecture,,,,,Doctoral,Fall 2026,,,,Not Required,Required,GRE,REQUIRED,"In addition to the Virginia Tech Graduate School application requirements, applicants must have a master's degree in a closely allied field and must submit a portfolio and a 2,500-word statement of research focus. [10]",Required,,True,False,False,False,True,False,,True,False,False,False,False,True,True,False,False,,,,"School of Architecture, School of Design","Tuition and mandatory fees for in-state graduate students will rise by $653 to $19,218 and for out-of-state graduate students by $1,121 to $36,212 for the 2025-26 academic year. [26] An annual supplemental fee is also assessed to all graduate students majoring in Architecture and Design Research. [42]",,,,,,,,"The Ph.D. in Architecture and Design Research is a research-only degree offered through the College of Architecture, Arts, and Design. The program is for students who want to contribute to the body of knowledge in the disciplines of architecture, landscape architecture, industrial design, and interior design. The Ph.D. program is STEM-designated, with a curriculum that is structured to provide a foundation in research methods and the development of a dissertation that makes an original contribution to the field. Ph.D. students benefit from the diverse expertise of the faculty and the resources of a leading research university. The program encourages interdisciplinary research and collaboration with other departments and research centers at Virginia Tech.",,https://graduateschool.vt.edu/academics/programs.html,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,Verbal: 154 or better; Quantitative: 152 or better,6.5,,,,,93,,,,,,,,,,,,,"The School of Architecture offers a one-time 'Technology Support Fund' scholarship based on financial need. [31] Additionally, assistantships with full tuition scholarships and out-of-state fee waivers are available for accepted students in the School of Performing Arts, which is within the same college. [40]",FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Biochemistry,,,,,Doctoral,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,,"The Ph.D. program in the Department of Biochemistry at Virginia Tech prepares students for careers as independent researchers in biochemistry, molecular and cellular biology, molecular microbiology, biotechnology, and related areas. [3] The program emphasizes mentored dissertation research with the goal of training students to become capable, ethical, and independent researchers. [3] Coursework is typically completed within the first two years, with the remainder of the time focused on research. [3] The first year includes research rotations in three different faculty laboratories, coursework, journal clubs, and seminars. [3] Students select a dissertation advisor in late November of their first year and begin dissertation work in December. [3] A Qualifying Examination is required at the end of the first year, and a Preliminary Examination is required at the end of the second year. [3] The rest of the program is dedicated to research, journal clubs, and seminars, culminating in a written dissertation and oral defense. [3]",,https://graduateschool.vt.edu/academics/programs.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Teaching Assistantships, Research Assistantships, Fellowships",FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Bioinformatics,,,,,Doctoral,Fall 2026,,,,Optional,Required,,,"Admission to the Ph.D. Program in Genetics, Bioinformatics, and Computational Biology will follow the general guidelines set forth by the university and will include: A bachelor's degree from an accredited college or university or its equivalent. A minimum undergraduate GPA of 3.0 on a 4.0 scale. Three letters of recommendation. A written statement of intent/personal statement for pursuing graduate studies. TOEFL, IELTS, or IBT For applicants whose native language is not English, satisfactory scores from a standardized test of English Language Proficiency is required. [1]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Interdisciplinary College,,All admitted students are considered for financial aid which includes tuition waivers. [2],,,,,,,,,https://graduateschool.vt.edu/academics/programs.html,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"graduate teaching assistantships (GTAs), graduate research assistantships (GRAs), and fellowships",FALSE,,,FALSE,FALSE,,,
