Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Required,Required,"Admission into the MSAT program is competitive. Applicants will be evaluated based on the following criteria: Cumulative GPA of 3.0 on a 4.0 scale for all undergraduate coursework. Successful completion of prerequisite courses (listed on the program website) with a minimum grade of ""C"" (2.0 on a 4.0 scale). Minimum of 50 observation hours under the direct supervision of a Board of Certification (BOC) certified athletic trainer (ATC). Hours must be completed prior to the application deadline. Two letters of recommendation, one must be from a BOC certified athletic trainer (ATC). Letters must be submitted on the online application by the recommender. Completed Statement of Purpose (SOP) addressing: What are your professional goals? Why are you interested in becoming an athletic trainer? Why are you interested in pursuing the MSAT program at Kent State University? Why do you believe you would be a strong candidate for the MSAT program at Kent State University? Resume/CV. Official transcripts from all previously attended colleges and universities. Transcripts must be submitted directly from the institution to Kent State University. International applicants only: Proof of English Language Proficiency, e.g., TOEFL, IELTS, PTE, Duolingo English Test. All applicants are required to interview with the MSAT admissions committee following review of their application materials. The GRE is NOT required for admission to the MSAT program.",,True,False,True,False,False,False,,,program,Master of Science in Athletic Training,https://www.kent.edu/ehhs/hs/attr/athletic-training-ms
Required,Required,"Applicants to the Doctor of Audiology (Au.D.) program must have a bachelor's degree from an accredited institution. Applicants may apply prior to completion of a bachelor's degree, but must have earned the degree prior to beginning the graduate program. Official transcripts from all universities and colleges attended. Minimum 3.00 GPA on a 4.00 point scale for undergraduate coursework. Three letters of recommendation. A current resume (CV). A letter of intent/personal statement. Applicants must apply through the Communication Sciences and Disorders Centralized Application Service (CSDCAS) and the Kent State University Admissions Office. Applicants for the Au.D. program are encouraged to submit scores from the Graduate Record Examination (GRE) general test, but GRE scores are not required for admission. All applicants must complete an interview with a member of the Au.D. Admissions Committee. Minimum English Language Proficiency Requirements (for international students only).",,True,True,,True,False,False,,,program,Doctor of Audiology (Au.D.),https://www.youtube.com/watch?v=-nM7cZd9vAg
Not Required,Required,"Admission to the Master of Arts degree program in Audiology is competitive. The following documents must be submitted to the Office of Graduate Admissions to be considered for admission: Official graduate application, official transcripts from all colleges and universities attended, minimum 3.000 undergraduate GPA on a 4.000 point scale for regular admission, official GRE scores, a two-page statement of purpose that outlines the applicant's research interests, professional and academic goals, three letters of recommendation, and a baccalaureate degree in speech pathology and audiology or a related field. Minimum 12 credits in speech pathology and audiology courses, including one course in phonetics, one course in anatomy and physiology of the speech and hearing mechanism, one course in speech and hearing science, and one course in audiology or aural rehabilitation. Additional course requirements include statistics, biological sciences, physical sciences and social sciences.",Not Required,False,False,,False,False,False,,,program,Master of Arts in Audiology,https://catalog.kent.edu/colleges/eh/hs/audiology-ma/
Required,Required,"Applicants must meet the requirements for admission to the College of Graduate Studies, including a bachelor's degree from an accredited college or university in speech pathology and audiology or a related field. Minimum 3.000 GPA on a 4.000 point scale for undergraduate coursework. All applicants must submit official transcripts, three letters of recommendation, a curriculum vitae/resume, a statement of purpose, a writing sample and GRE General Test scores. An interview is also required.",Required,False,False,,False,False,False,,,program,Doctor of Philosophy in Audiology,https://www.kumc.edu/school-of-health-professions/academics/departments/hearing-and-speech/academics/audiology-degrees/clinical-doctor-in-audiology-(au.d.)/curriculum-and-degree-requirements.html
,Required,Official transcript(s); Minimum 2.750 undergraduate GPA; Goal statement; Letters of recommendation.,,True,False,True,False,False,False,,,program,Graduate Certificate in Autism Spectrum Disorders,https://catalog.kent.edu/programs/
Required,Required,"Applicants must meet the following requirements to be considered for admission: Baccalaureate degree from an accredited college or university, Minimum 2.750 undergraduate GPA overall, Minimum 3.000 undergraduate GPA in upper-division accounting courses (30000 level and above), Current professional resume, Statement of purpose, Two letters of recommendation, Official transcripts. International applicants must also meet English language proficiency requirements as defined in the university policy regarding international admissions. GRE/GMAT scores are not required for admission.",Not Required,True,True,True,True,False,False,,,program,Master of Science in Accounting (M.S.A.),https://catalog.kent.edu/colleges/be/acct/accounting-msa/
Required,Required,"Admission to the Graduate Certificate in Accounting Analytics program is selective. All applicants must meet the university graduate admission requirements as well as the program-specific requirements. A minimum 2.750 undergraduate cumulative GPA on a 4.000-point scale. Official transcripts of all undergraduate and graduate coursework. Goal statement describing the applicant's purpose in undertaking graduate study in accounting analytics. Three letters of recommendation. Resume. For applicants whose native language is not English, a minimum TOEFL score of 550 PBT (paper-based test), 79 iBT (internet-based test) or 6.5 on the IELTS.",,True,False,,False,False,False,,,program,Graduate Certificate in Accounting Analytics,https://catalog.kent.edu/programs/
,,,,False,False,False,False,False,False,,,program,Graduate Certificate in Accounting Fundamentals,https://online.uconn.edu/programs/accounting-fundamentals/
,,"Admission to the M.S. in Accounting, Business Technology and Analytics is open to applicants who hold a bachelor’s degree from an accredited institution. Strong applicants should demonstrate academic excellence through prior coursework in accounting and related business fields. Applicants with insufficient prior coursework in accounting and/or business will be required to complete foundational coursework. Minimum 3.000 undergraduate GPA overall or in the last two years of undergraduate coursework. All applicants are required to take the GMAT or GRE. Applicants with strong academic credentials may request a waiver for the GMAT/GRE. Please contact the Department of Accounting for information on the waiver policy.",,False,True,False,True,False,False,,,program,"Master of Science in Accounting, Business Technology and Analytics",https://catalog.kent.edu/colleges/be/acct/accounting-business-technology-analytics-ms/
Required,Required,"Admission Requirements
Application materials for admission to the M.F.A. in Acting program are submitted through the university’s online application system. The program accepts applications in the fall for admission the following fall. The application deadline is December 15.

Required application materials include:
*   Online application
*   Application fee
*   Official transcripts
*   Statement of purpose (should be 1-2 pages in length and include your reasons for pursuing graduate work, your specific area of interest within the field, and your professional goals.)
*   Resume/CV
*   Three (3) letters of recommendation

All applicants must undergo an audition/interview to be considered for admission to the program. Audition/interview dates for admission in Fall 2024 (and subsequent years) are as follows:
*   Saturday, January 20, 2024 at Kent State University (by invitation only)
*   Friday, February 9, 2024 at University Resident Theatre Association (URTA) Unified Auditions in Chicago (for URTA members only)
All URTA and On-Campus Auditions will be scheduled after a completed application has been submitted and reviewed.",Not Required,True,False,False,False,False,False,,,program,Master of Fine Arts in Acting,https://www.kent.edu/theatredance/acting-mfa
