QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
89,School of Aeronautics and Astronautics,,4.0,3.0,,"Fall, Spring, Summer",,"December 1 (Fall Priority), September 1 (Spring)",28794,,948.30,,,"Assistantships (Research and Teaching), Fellowships",4-6 years,"$28,794/Year (Non-resident) or $9,992/Year (Resident)",Doctor of Philosophy in Aeronautics and Astronautics,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Agriculture and College of Engineering,,4.0,3.0,,"Fall, Spring, Summer",,"Fall: December 15 (Priority), May 1 (Final); Spring: October 1; Summer: May 1","$29,284/Year",,$947.85,,,"Research Assistantships, Teaching Assistantships, and Fellowships",,"$29,284/Year",Doctor of Philosophy in Agricultural and Biological Engineering,https://www.purdue.edu/academics/ogsps/admissions/gradrequirements/westlafayette/agricultural-and-biological-engineering/
89,College of Agriculture,,4.0,3.0,,"Fall, Spring","September 1, 2025","January 1, 2026","$28,804/Year",,$948.30,,,"Research Assistantships, Teaching Assistantships, and Fellowships",4 years,"$28,804/Year",Doctor of Philosophy in Agricultural Economics,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Agriculture,,4.0,3.0,,"Fall, Spring, Summer",August 2025,January 1,"$28,804/Year",,$948.30,Full tuition waiver plus stipend,,Assistantships (Research/Teaching) and Fellowships,3-5 years,"$28,804/Year",Doctor of Philosophy in Agricultural Sciences Education and Communication,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Agriculture,,4.0,3.0,,"Fall, Spring, Summer",,"Fall: March 1 (International), May 1 (Domestic)","$9,992/Year (Resident), $28,794/Year (Non-Resident)",,"$329.05 (Resident), $948.30 (Non-Resident)",,,"Fellowships, Graduate Research Assistantships, Graduate Teaching Assistantships",3-5 years,"$9,992/Year (Resident), $28,794/Year (Non-Resident)",Doctor of Philosophy in Agronomy,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Liberal Arts,,4.0,3.0,,Fall,,January 1,28802,,948.30,,,"Fellowships, Teaching Assistantships, and Research Assistantships",,"$9,992/Year (Resident); $28,802/Year (Non-Resident)",Doctor of Philosophy in American Studies,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Agriculture,,4.0,3.0,,"Fall, Spring, Summer","August 1, 2025",January 1,"$28,794/Year",,$948.30,,,"Graduate Research Assistantships, Teaching Assistantships, and Fellowships",3-5 years,"$28,794/Year",Doctor of Philosophy in Animal Science,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Agriculture,,4.0,3.0,,"Fall, Spring, Summer",August 2025,"January 1, 2026","$28,802/Year",,$948.30,,,"Graduate Assistantships (Research/Teaching), Fellowships",4-5 years,"$9,992/Year (Resident); $28,802/Year (Non-Resident)",Doctor of Philosophy in Animal Science with a Concentration in Cancer Research,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Liberal Arts,,4.0,3.0,,Fall,,December 1,"$28,794/Year",,$948.30,,,"Fellowships, Teaching Assistantships, Research Assistantships",5-7 years,"$28,794/Year",Doctor of Philosophy in Anthropology,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Liberal Arts,,4.0,3.0,,"Fall, Spring",,December 1,"$14,401.35/semester",,$929.05,,,"Fellowships, Assistantships (TA/RA)",,"$28,802.70/year",Doctor of Philosophy in Anthropology with a Concentration in Gerontology,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,School of Aviation and Transportation Technology,,4.0,3.0,,"Fall, Spring, Summer","September 1, 2025","December 15, 2025","$28,794/Year",,$948.30,,,"Fellowships, Graduate Assistantships (Teaching and Research)",3-5 years,"$28,794/Year",Doctor of Philosophy in Aviation Technology and Management,https://old.polytechnic.purdue.edu/sites/default/files/files/MSAAM-Handbook-October-1-2023.pdf
89,College of Veterinary Medicine,,4.0,3.0,,"Fall, Spring, Summer",,January 1,"$28,794/Year",,$948.30,,,Assistantships and Fellowships,4-5 years,"$28,794/Year",Doctor of Philosophy in Basic Medical Sciences,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Veterinary Medicine,,4.0,3.0,,Fall,"September 1, 2025","December 15, 2025","$28,794/Year",,$948.30,,,Merit-based (Fellowships and Assistantships),4-6 years,"$28,794/Year",Doctor of Philosophy in Basic Medical Sciences with a Concentration in Cancer Research,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Agriculture,,4.0,3.0,,Fall,,December 1,"$9,992/Year (Resident); $28,794/Year (Non-Resident)",,,"Full tuition waiver and stipend (approx. $31,000+)",100% tuition coverage,"Graduate Research Assistantships, Teaching Assistantships, and Fellowships",5 years,"$9,992/Year (Resident); $28,794/Year (Non-Resident)",Doctor of Philosophy in Biochemistry and Molecular Biology,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Agriculture,,4.0,3.0,,Fall,,December 1,28794,,948.30,Full tuition waiver and stipend,100%,Graduate Assistantship (Research/Teaching) or Fellowship,5-6 years,"$28,794/year",Doctor of Philosophy in Biochemistry and Molecular Biology with a Concentration in Cancer Research,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Science,,4.0,3.0,,Fall,September 2025,"December 1, 2025","$28,794/Year",,$948.30,Full Tuition Waiver and Stipend,100%,"Fellowships, Research Assistantships, and Teaching Assistantships",5 years,"$28,794/Year",Doctor of Philosophy in Biological Sciences,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Science,,4.0,3.0,,Fall,"September 1, 2025",December 1,"$29,802/Year","Full tuition waiver and stipend (approx. $30,000/year)",$948.30,,100%,Graduate Assistantships (Research/Teaching),5 years,"$29,802/Year",Doctor of Philosophy in Biological Sciences with a Concentration in Cancer Research,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
