Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
,"The M.A. in Climate and Society is a 12-month interdisciplinary program that trains professionals and academics to understand and address the impacts of climate change and climate variability on society and the environment. The program’s unique and rigorous curriculum combines the flexibility of a graduate-level education with the breadth and depth of a professional degree. Students in the M.A. in Climate and Society program are part of the Columbia Climate School, a community of scholars and researchers dedicated to tackling the climate crisis. The core curriculum provides a scientific basis for inquiry and a foundation in management and policy. A dynamic set of electives allows students to apply a climate lens to a variety of fields and create a custom learning path to complement their specific interests and career goals. Drawing on the superb educational and research resources of Columbia University, the program provides students with the foundational knowledge and professional skills to tackle the climate crisis from all angles. Graduates go on to work in a variety of fields including risk management, policy, energy, adaptation, and sustainable business.",https://climate.columbia.edu/academics/ma-climate-and-society,,MA,Master of Arts in Climate and Society,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"['Corporate Communications', 'Public Relations & Reputation Management', 'Marketing Communications', 'Political & Public Affairs Communications', 'Strategic Communications & Analytics']","The Master of Science in Communications Practice program at Columbia University is the premier communications master’s degree program for those who want to be leaders in the industry. The program provides a foundation in the analytical skills, strategic savvy, and creative abilities needed to succeed and lead in today's dynamic communications landscape. The program's core curriculum focuses on strategic communications, which involves using communications to achieve an organization's objectives. Students will learn how to develop and implement communications plans that are aligned with business goals, as well as how to measure the effectiveness of their campaigns. The program provides students with a solid grounding in the fundamentals of communications, such as writing, storytelling, and digital and media skills. Students will also learn about the latest trends in the industry, such as social media, data analytics, and artificial intelligence. In addition to the core curriculum, students can choose to specialize in one of five concentrations: Corporate Communications, Public Relations & Reputation Management, Marketing Communications, Political & Public Affairs Communications, or Strategic Communications & Analytics. This allows students to tailor their studies to their specific interests and career goals. The M.S. in Communications Practice program is designed for working professionals who want to advance their careers. The program offers a flexible format that allows students to take classes on-campus, online, or a combination of both.",https://sps.columbia.edu/academics/masters/communications-practice,,Master of Science,Master of Science in Communications Practice,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"['Construction Management', 'Construction Finance & Development', 'Construction Law & Dispute Resolution', 'Construction Technology', 'Public-Private Partnerships & Infrastructure', 'Real Estate']","The Master of Science in Construction Administration program at Columbia University is designed to provide students with the essential skills and knowledge required for a successful career as a construction industry leader in the 21st century. The program integrates the management skills of a business school with the design sense of an architecture school and the planning acumen of an urban planning school with the engineering rigor of an engineering school. Graduates of the M.S. in Construction Administration program will be equipped with the knowledge and leadership skills necessary to have a positive impact on the built environment.

The curriculum is designed to combine the essential elements of the built environment with business and management coursework. Core courses provide the foundational knowledge necessary for success as a construction administrator. Focus area electives allow students to deepen their knowledge in specialized areas within the construction industry, including construction management, construction finance and development, real estate, construction technology, and public-private partnerships. A capstone project is required for graduation, allowing students to apply their knowledge to a real-world construction problem.

Graduates of the program will possess a broad understanding of the real estate development process, an in-depth knowledge of the construction process, excellent communication and negotiation skills, strong leadership and teamwork skills, and a commitment to ethical practice. They will be prepared to take on leadership roles in a variety of construction-related fields, including general contracting, construction management, real estate development, and infrastructure development. The program will produce graduates who will shape the built environment of the future for generations to come.",https://sps.columbia.edu/academics/masters/construction-administration,"The Construction Administration program is accredited by the RICS, the leading professional body for qualifications and standards in land, property, and construction. Our program is also accredited by the Project Management Institute Global Accreditation Center for Project Management Education Programs (GAC).",Master of Science,Master of Science in Construction Administration,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
Climate and Energy; Water; Food and Agriculture; Urban Systems and Sustainability; and ESG and Corporate Sustainability,"The Master of Public Administration in Environmental Science and Policy (MPA-ESP) program at the Columbia University School of International and Public Affairs (SIPA) and the Climate School is a 12-month MPA program that trains sophisticated public managers and policymakers, who apply innovative, interdisciplinary, and sustainable solutions to environmental issues. The program’s students are aspiring leaders who want to tackle the world’s most difficult sustainability challenges. The curriculum is a unique combination of environmental science and public policy, which are taught as an integrated whole, with a greater emphasis on science than other, more traditional MPA programs. In the summer, students begin with a specially designed curriculum of core courses in management, economics, and quantitative analysis. At the same time, they take a parallel set of courses in environmental science, which include earth science, chemistry, ecology and toxicology. In the fall and spring semesters, students complete the core requirements by studying a set of interdisciplinary case studies in the Workshop in Applied Earth Systems Policy Analysis. They also choose an area of specialization from the five following choices: Climate and Energy; Water; Food and Agriculture; Urban Systems and Sustainability; and ESG and Corporate Sustainability. Students complete their degrees with electives chosen from a wide variety of courses at SIPA, the Climate School and other graduate schools at Columbia University. MPA-ESP graduates work in the public, private and nonprofit sectors in the United States and worldwide. They hold positions in federal and state governments, international organizations, consulting firms, and nongovernmental organizations.",https://www.climate.columbia.edu/academics/master-public-administration-environmental-science-and-policy,"SIPA’s MPA program is accredited by the Network of Schools of Public Policy, Affairs, and Administration (NASPAA).",Master's,Master of Public Administration in Environmental Science and Policy,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"Data Science and Analytics, Digital and Business Transformation, Cybersecurity and Risk, Entrepreneurship and Innovation","The Master of Science in Technology Management prepares students for leadership roles in tech. Taught by seasoned executives with extensive experience in the field, our market-driven curriculum provides you with a comprehensive understanding of the entire technology ecosystem—from product ideation and development to funding and marketing. You will also develop essential business skills, such as financial management, strategic planning, and data analytics, to make informed decisions that help you lead with confidence. At Columbia, you will have access to a robust alumni network and invaluable University-wide resources that will prepare you for success in a competitive job market. We understand the value of flexibility for working professionals. The program can be completed in as few as 16 months. Choose between our Executive or Part-time Pathways.",https://sps.columbia.edu/academics/masters/technology-management,,Master of Science,Executive Master of Science in Technology Management,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"['Organizational Effectiveness and Analytics', 'Change Management and Leadership', 'Talent Management', 'Diversity, Equity, and Inclusion']","The Master of Science in Human Capital Management (HCM) at Columbia University’s School of Professional Studies prepares graduates to be strategic business partners and human capital leaders who can add value to an organization. Students learn to address complex human capital challenges and create opportunities that enhance organizational performance.

The program is designed to deliver a comprehensive, business-oriented, and data-driven perspective on managing human capital, grounded in a strategic business-partnership model. In this program, students develop an understanding of the relationship between human capital and business outcomes. The HCM program provides an in-depth curriculum focused on strategic talent management, organizational effectiveness, and data and analytics, which are interwoven through every course. Students have the flexibility to tailor the program to their individual needs by selecting a focus area and elective courses of their interest. Through a variety of experiences including case studies, consulting projects, lectures, and group projects, students develop the skills to be effective human capital leaders.",https://sps.columbia.edu/academics/masters/human-capital-management,,,Master of Science in Human Capital Management,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"Digital Workplace, Entrepreneurship & Innovation","Columbia University’s Master of Science in Information and Knowledge Strategy (IKNS) program prepares students who aspire to be leaders in the knowledge domain—or who are charged with managing or launching a knowledge or information-based initiative—to create value for their organizations. Students learn to design, implement, and lead successful, innovative knowledge and information services and products for organizations of any size in any industry. The IKNS program empowers leaders to transform their organizations through information and knowledge strategy. Students focus on the three pillars of the IKNS curriculum: Knowledge, Strategy, and Leadership. Courses include business strategy, user experience, design thinking, data analytics and visualization, and change management. Students can specialize their coursework in two areas: Digital Workplace and Entrepreneurship & Innovation. The program can be completed in 16 months. Courses are offered on evenings and weekends, allowing students to continue working while enrolled. The program is offered in both an online and campus format.",https://sps.columbia.edu/academics/masters/information-knowledge-strategy,,Master of Science,Master of Science in Information and Knowledge Strategy,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"['arts and culture', 'business and economics', 'politics', 'science']","The Master of Arts program is for experienced journalists who want to deepen their understanding of a specialized subject and learn to report on it with authority. The nine-month program has four concentrations: arts and culture, business and economics, politics, and science. The M.A. degree is distinct from our M.S. degree, a foundational program for aspiring journalists. M.A. students take most of their courses at the Journalism School but are also encouraged to take classes in other schools at Columbia University. They work closely with a faculty adviser on a master's thesis, a substantial piece of journalism that is often published.",https://journalism.columbia.edu/ma,Columbia Journalism School is accredited by the Accrediting Council on Education in Journalism and Mass Communications (ACEJMC).,Master of Arts,Master of Arts in Journalism,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"['Investigative', 'Data', 'Visuals', 'Narrative', 'Audio']","The Master of Science Program is our signature, intensive 10-month degree program designed for both aspiring and early-career journalists. It teaches the enduring values and the essential skills to report with depth and nuance on any subject, in any medium, anywhere in the world. The M.S. program curriculum begins by ensuring that all students have a firm grounding in the core skills of reporting and writing, and then allows them to choose a specialized reporting concentration. The goal is to provide our graduates with the knowledge, skills, and understanding needed to secure a first job as a reporter. Our graduates go on to work for the world's most prestigious news organizations, including The New York Times, The Wall Street Journal, The Associated Press, Reuters, The Washington Post, 60 Minutes, Vice, and CNN. They become Pulitzer Prize winners, leaders of newsrooms, and innovators in the field. But they all start here, learning the bedrock skills of journalism in the media capital of the world, New York City.",https://journalism.columbia.edu/ms-program,The Graduate School of Journalism at Columbia University is accredited by the Accrediting Council on Education in Journalism and Mass Communications (ACEJMC).,Master of Science,Master of Science in Journalism,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The Master of Science in Landscape Design (MSLD) program at Columbia GSAPP is a three-semester post-professional degree for students with a professional degree in landscape architecture, or architecture. The MSLD program aims to address the urgent and complex challenges of our time through design research. These challenges include the climate crisis, its impacts on biodiversity, resources, and environmental justice, as well as the need for alternative models of urbanization to support an equitable public realm.

The MSLD curriculum provides a unique platform for advanced design research, drawing upon the School’s leadership in urbanism and design, and leveraging its New York City location. Students develop a research- and design-based thesis during the intensive twelve-month program. The thesis is initiated in the summer studio and seminar with a focus on fieldwork and research methodologies, continues through the fall semester with a focus on advanced design and prototyping, and is finalized in the spring semester with a focus on thesis documentation and a public exhibition. The thesis sequence is supplemented with required and elective courses in history/theory, technology, and media, as well as opportunities for interdisciplinary study with the School’s other programs and the University at large.

The MSLD program takes an experimental and collaborative approach to the field of landscape architecture. It encourages students to think critically, and to push the boundaries of the discipline. Recent student theses have investigated a range of topics, including landscape representation, material ecologies, climate mitigation and adaptation, environmental justice, as well as the design of equitable public space. The program is enriched by a vibrant culture of events, lectures, and exhibitions, providing a dynamic learning environment for the next generation of landscape architects.",https://www.arch.columbia.edu/programs/12-m-s-in-landscape-design,,,Master of Science in Landscape Design,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"['pharmaceutical biotechnology', 'medical biotechnology']","The Master of Arts in Biotechnology program is a two-semester program with an optional paid summer corporate internship that provides students a strong foundation in biochemistry, molecular biology, and cell biology, in addition to coursework in business, management, and finance. The program offers tracks in pharmaceutical and medical biotechnology. Graduates will be prepared to enter a variety of careers in the biotechnology and pharmaceutical industries.

The Biotechnology MA Program at Columbia is an interdisciplinary program that brings together the strengths of the Department of Biological Sciences, other departments in the Graduate School of Arts and Sciences, and the Vagelos College of Physicians and Surgeons. The program provides scientific instruction through coursework and intensive laboratory training, and combines this with business- and management-focused education that provides a clear advantage when applying for jobs in the biotech and pharma industries. In addition, the program takes advantage of its location in the center of the New York/New Jersey biotech community to put students in close contact with industry leaders during their studies.",https://gsas.columbia.edu/degree-programs/ma-programs/biotechnology,,MA,Master of Arts in Biotechnology,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The MA in Museum Anthropology is a specialization within the MA program in Anthropology. It provides analytic and practical skills for a career in museum curation, collections management, or other museum work. The curriculum addresses the history, theory, and politics of collecting and display; the nature of artifacts and the kinds of knowledge and social relations they embody; and the varied responsibilities of museums to the diverse communities they serve. Students may also pursue more practice-oriented training in collections management and exhibition design in courses offered in collaboration with the American Museum of Natural History, located across the street from Columbia's campus.",https://gsas.columbia.edu/degree-programs/ma-programs/museum-anthropology,,,Master of Arts in Museum Anthropology,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"China, Japan, Korea, or Tibet","The Master of Arts in Regional Studies—East Asia (MARS-EA) is an interdisciplinary, 30-credit master’s degree program that provides an intensive introduction to a particular country or region within East Asia, as well as a broad understanding of the region as a whole. MARS-EA students develop in-depth knowledge of East Asia through a combination of social science and humanities-based coursework, and through sustained language study. The MARS-EA program is housed in the Graduate School of Arts and Sciences (GSAS) and administered by the Weatherhead East Asian Institute. Graduates of the MARS-EA program go on to careers in government, the private sector, non-governmental organizations, and journalism, and some pursue further graduate study.",https://weai.columbia.edu/academics/master-arts-regional-studies-east-asia-mars-ea,,,Master of Arts in Regional Studies - East Asia,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The Master of Science in Actuarial Science at Columbia University prepares students for a career in the actuarial profession. The program is offered both on campus and online. The program equips students with the mathematical and theoretical foundation to become a successful actuary and provides the training for the preliminary professional exams sponsored by the Society of Actuaries (SOA) and the Casualty Actuarial Society (CAS). Students graduate with a thorough understanding of actuarial models and methods, as well as the business and communication skills necessary to make an immediate and significant impact on their employers' businesses.",https://sps.columbia.edu/academics/masters/actuarial-science,"Our curriculum has been developed by leading actuaries and is recognized by both the Society of Actuaries (SOA) and the Casualty Actuarial Society (CAS). Our program has been granted the highest recognition level by the SOA, earning the designation of a Center of Actuarial Excellence (CAE). There are only 35 universities in the world that have achieved this designation. The program is also designated by the CAS as a member of its University Recognition Program at the Gold level, and is one of fewer than 20 universities worldwide to be so recognized.",Master of Science,Master of Science in Actuarial Science,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"['Global Bioethics', 'Clinical Ethics', 'Research Ethics']","The Master of Science in Bioethics prepares students to become leaders in the growing field of bioethics. Students develop the conceptual and practical skills to address the ethical challenges of medicine, science, and technology from a global perspective. The program grounds students in the history, philosophy, and legal and social-scientific approaches to bioethics. It provides a unique opportunity to tailor a curriculum to their specific interests through one of three concentrations and a broad selection of elective courses from across the university.

The program is ideal for:

Professionals from medicine, law, business, journalism, social work, religion, and other fields who wish to develop expertise in bioethics as it relates to their careers.
Students preparing for a doctoral degree or professional school who wish to concentrate on bioethics.
Individuals who wish to pursue a career in bioethics in academic, healthcare, or government settings.

All students must complete the required coursework, including a final master's thesis or capstone project. They also have the option to take part in a practicum that allows them to gain real-world experience in the field of bioethics. The program may be completed on a full-time or part-time basis.",https://sps.columbia.edu/academics/masters/bioethics,,,Master of Science in Bioethics,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
