Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,error
Required,Required,"To be accepted into the Doctor of Business Administration (DBA) program at the University of the Cumberlands, you need a master's degree in a business-related field from a regionally or nationally accredited institution. Your master's degree must have a cumulative GPA of at least 3.0 on a 4.0 scale. Additionally, you are required to submit a completed graduate application form, a current resume, and a writing sample. The writing sample should be between 750 and 1000 words and focus on a current issue or topic in business. It will be evaluated for writing quality, content, and relevance to the business field.",Required,True,False,,False,False,False,,,program,Doctor of Business Administration (DBA),https://www.ucumberlands.edu/academics/graduate,
,,,,False,False,False,False,False,False,,,none,Doctor of Educational Leadership (Ed.D.),https://www.ucumberlands.edu/academics/graduate,
Required,Required,"To qualify for the program, you must meet or exceed the following criteria: Earn a bachelor's degree from a regionally accredited college or university, with a cumulative grade point average (GPA) of 2.75 or higher on a 4.0 scale. [9, 7] Successfully complete the following prerequisite courses in biological sciences, physical sciences, behavioral sciences, and statistics. [9, 7] A minimum cumulative GPA for prerequisites of 3.0 or higher on a 4.0 scale is required. [9] Grades of 'C' or better are required in all prerequisite courses. [9] Prerequisite courses taken on a 'pass/no pass' basis will not be recognized, and AP credits will not be accepted in lieu of college-level courses. [9] Complete twenty hours (20) of observation or employment in a physical therapy setting under the supervision of a licensed physical therapist and verified by the physical therapist. [11] A minimum of three letters of reference, (at least two, from a licensed physical therapist, each in a different practice setting) directly submitted to PTCAS. [2] Personal written statement addressing the applicant's goal of becoming a physical therapist in PTCAS. [2] Personal résumé including previous work experience, honors and awards, extracurricular activities, and community service experience in PTCAS. [2] Official GRE scores (code 7558): with a preferred score of 150 or higher in Verbal and 145 or higher in Quantitative. [2] Two separate applications; (1) PTCAS application and (2) the DPT Supplemental Application are required. [2] The PTCAS Application, supplemental application, official transcripts, and all supporting documents must be submitted and PTCAS status must be listed as complete by the application deadline. [2]",Not Required,False,False,,False,False,False,,,program,Doctor of Physical Therapy (DPT),https://www.ucumberlands.edu/academics/graduate,
,,"To enroll, you need to meet the standard graduate admission requirements, which typically include relevant work experience, an undergraduate degree, and often a master's degree. The application process usually involves submitting transcripts, letters of recommendation, a statement of purpose, and sometimes a resume or CV. [6]",,True,False,,False,False,False,,,program,Executive PhD in Business,https://www.ucumberlands.edu/academics/graduate,
Required,Not Required,"The Executive PhD in Information Technology program requires the completion of 60 credit hours. This includes professional research courses, content specialty courses, and mandatory residencies with one weekend per semester. An integral part of the curriculum for executive format students is the applied learning component, which necessitates enrollment in the INTR 799/899 Applied Learning Practicum each term. Applicants must submit official transcripts from all previously attended educational institutions, showing a GPA of 2.5 or higher, along with the highest degree diplomas and a current personal resume.",Not Required,False,False,,False,False,False,,,program,Executive PhD in Information Technology,https://www.ucumberlands.edu/academics/graduate,
,,,,,,,,,,,,error,Doctor of Philosophy in Business with Accounting specialty,https://www.ucumberlands.edu/academics/graduate,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,"Specific application requirements for the Doctor of Philosophy in Business with a Blockchain specialty are not detailed on the University of the Cumberlands' official website. The general program page for the online Ph.D. in Business indicates that the curriculum builds on undergraduate and graduate work, as well as practical business experience.",,True,False,,False,False,False,,,program,Doctor of Philosophy in Business with Blockchain specialty,https://www.ucumberlands.edu/academics/graduate,
Not Required,Not Required,"Doctoral degree admission requires a cumulative grade point average of at least 3.0 on a 4.0 scale from the conferred master's degree as well as in any subsequent graduate study. Admission to a Doctoral degree program requires a master's degree or higher from a United States Department of Education accredited institution in a field related to the doctoral degree of application. For the PhD in Business, a content specialty area of at least twenty-four (24) hours must be earned in one of the approved disciplines, which includes Business Analytics.",Not Required,True,False,,False,False,False,,,program,Doctor of Philosophy in Business with Business Analytics specialty,https://www.ucumberlands.edu/academics/graduate,
,,,,False,False,,False,False,False,,,program,Doctor of Philosophy in Business with Entrepreneurship specialty,https://www.ucumberlands.edu/academics/graduate,
,,"The University of the Cumberlands offers a Doctor of Philosophy (PhD) in Business program, which is conducted online. [15] The curriculum includes an in-depth review of business fundamentals in accounting, finance, economics, management, and marketing. [12] The program is designed to equip students with research skills, strategic insight, and leadership knowledge for roles in academia, research, consulting, and executive leadership. [15] There is also an Executive Ph.D. in Business program, which is a hybrid format focusing on original research and theory development. [14] While these programs cover finance as a core subject, a distinct, separately listed 'Doctor of Philosophy in Business with Finance specialty' with its own specific application requirements is not detailed on the primary pages of the official university website. [12, 14, 15]",,False,False,False,False,False,False,,,program,Doctor of Philosophy in Business with Finance specialty,https://www.ucumberlands.edu/academics/graduate,
,,,,False,False,False,False,False,False,,,none,Doctor of Philosophy in Business with Healthcare Administration specialty,https://www.ucumberlands.edu/academics/graduate,
,,,,,,,,,,,,error,Doctor of Philosophy in Business with Marketing specialty,https://www.ucumberlands.edu/academics/graduate,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
