Program name,Program Page url
Doctor of Business Administration (DBA),https://www.ucumberlands.edu/academics/graduate
Doctor of Educational Leadership (Ed.D.),https://www.ucumberlands.edu/academics/graduate
Doctor of Physical Therapy (DPT),https://www.ucumberlands.edu/academics/graduate
Executive PhD in Business,https://www.ucumberlands.edu/academics/graduate
Executive PhD in Information Technology,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Business with Accounting specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Business with Blockchain specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Business with Business Analytics specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Business with Entrepreneurship specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Business with Finance specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Business with Healthcare Administration specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Business with Marketing specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Business with Project Management specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Business with Public Administration specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Business with Strategic Management specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Business with Supply Chain Management specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Information Technology with Artificial Intelligence specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Information Technology with Blockchain specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Information Technology with Computer Science specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Information Technology with Cyber Engineering specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Information Technology with Data Science specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Information Technology with Digital Forensics specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Information Technology with Information Systems Security specialty,https://www.ucumberlands.edu/academics/graduate
Doctor of Philosophy in Information Technology with Information Technology specialty,https://www.ucumberlands.edu/academics/graduate
Educational Specialist (Ed.S.) Certification,https://www.ucumberlands.edu/academics/graduate
Master of Arts in Christian Studies,https://www.ucumberlands.edu/academics/graduate
Master of Arts in Education,https://www.ucumberlands.edu/academics/graduate
Master of Arts in Education with Literacy concentration,https://www.ucumberlands.edu/academics/graduate
Master of Arts in Education with Counseling concentration,https://www.ucumberlands.edu/academics/graduate
Master of Arts in Education with Leadership concentration,https://www.ucumberlands.edu/academics/graduate
Master of Arts in Teaching,https://www.ucumberlands.edu/academics/graduate
Master's in Addiction Studies,https://www.ucumberlands.edu/academics/graduate
Master's in Artificial Intelligence,https://www.ucumberlands.edu/academics/graduate
Master's in Business Administration,https://www.ucumberlands.edu/academics/graduate
Master's in Business Analytics,https://www.ucumberlands.edu/academics/graduate
Master's in Computer Science,https://www.ucumberlands.edu/academics/graduate
Master's in Cyber Engineering,https://www.ucumberlands.edu/academics/graduate
Master's in Data Science,https://www.ucumberlands.edu/academics/graduate
Master's in Engineering Management,https://www.ucumberlands.edu/academics/graduate
Master's in Finance,https://www.ucumberlands.edu/academics/graduate
Master of Science in Physician Assistant Studies,https://www.ucumberlands.edu/academics/graduate
Master of Science in Digital Forensics,https://www.ucumberlands.edu/academics/graduate
Master of Science in Information Systems Security,https://www.ucumberlands.edu/academics/graduate
Master of Science in Information Technology,https://www.ucumberlands.edu/academics/graduate
Master of Science in Blockchain,https://www.ucumberlands.edu/academics/graduate
Certificate in Data Science,https://www.ucumberlands.edu/academics/graduate
Certificate in Artificial Intelligence,https://www.ucumberlands.edu/academics/graduate
Artificial Intelligence Certificate Program,https://www.ucumberlands.edu/academics/graduate
Blockchain Certificate,https://www.ucumberlands.edu/academics/graduate
Business Analytics Certificate,https://www.ucumberlands.edu/academics/graduate
Coaching and Fitness Leadership Certificate,https://www.ucumberlands.edu/academics/graduate
Criminal Justice Management Certificate,https://www.ucumberlands.edu/academics/graduate
Digital Forensics Certificate,https://www.ucumberlands.edu/academics/graduate
Entrepreneurship and New Venture Development Certificate,https://www.ucumberlands.edu/academics/graduate
Financial Management Certificate,https://www.ucumberlands.edu/academics/graduate
Health Promotion Certificate,https://www.ucumberlands.edu/academics/graduate
Human Performance Certificate,https://www.ucumberlands.edu/academics/graduate
Kentucky Education Administration Certification,https://www.ucumberlands.edu/academics/graduate
Leadership Certificate I,https://www.ucumberlands.edu/academics/graduate
Leadership Certificate II,https://www.ucumberlands.edu/academics/graduate
Marketing Analytics and Digital Strategy Certificate,https://www.ucumberlands.edu/academics/graduate
Non-Profit Management Certificate,https://www.ucumberlands.edu/academics/graduate
Proficiency Evaluation for Additional Education Certification,https://www.ucumberlands.edu/academics/graduate
