Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
"Accountancy and Data Analytics, Master",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Acting, Master of Fine Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Addiction Psychology, Master of Science",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,Required,Required,"Applicants must fulfill the requirements of both the Graduate College and the College of Liberal Arts and Sciences.

Applicants are eligible to apply to the program if they have earned a bachelor's or master's degree in psychology, counseling, social work or a related field from a regionally accredited institution.

Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in the last 60 hours of their first bachelor's degree program, or applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in an applicable master's degree program.

All applicants must submit:

1. graduate admission application and application fee
2. official transcripts
3. resume
4. statement of purpose
5. two letters of recommendation
6. proof of English proficiency",Not Required,True,False,False,True,False,False,,,program,
"Advanced Analytics in Higher Education, Graduate Certificate",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Aerospace Engineering, Master of Science",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Aerospace Engineering, PhD",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"American Indian Studies (Cultural Resource Revitalization and Sust), Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,Required,"All applicants must meet the requirements of both the Graduate College and The College of Liberal Arts and Sciences.

Applicants are eligible to apply to the program if they have earned a bachelor's or master's degree in American Indian studies or a related field from a regionally accredited institution.

Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in the last 60 hours of their first bachelor's degree program, or applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in an applicable master's degree program.

All applicants must submit:
1. a graduate admission application and application fee
2. official transcripts
3. a statement of purpose
4. a writing sample
5. three letters of recommendation
6. proof of English proficiency",Required,True,False,True,False,False,False,,,program,
"American Indian Studies (Indigenous Rights and Social Justice), Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,,Required,An applicant must have a bachelor's degree from a regionally accredited institution. Applicants must have a minimum of a 3.00 cumulative GPA (scale is 4.00 = A) in the last 60 hours of their first bachelor's degree program.,Required,True,False,True,False,False,False,,,program,
"American Indian Studies (Tribal Leadership and Governance), Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,Required,Required,"All applicants must meet the minimum admission requirements of the Graduate College. A student must have earned a bachelor's or master's degree in American Indian studies or a related field from a regionally accredited institution. Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in the last 60 hours of their first bachelor's degree program.",Required,True,False,True,False,False,False,,,program,
"American Indian Studies (Visual and Oral Culture), Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true,Required,Required,"Applicants must fulfill the requirements of both the Graduate College and The College of Liberal Arts and Sciences.

Applicants are eligible to apply to the program if they have earned a bachelor's or master's degree in American Indian studies or a related field from a regionally accredited institution.

Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in the last 60 hours of their first bachelor's degree program, or applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in an applicable master's degree program.

Applicants are required to submit:
1. graduate admission application and application fee
2. official transcripts
3. three letters of recommendation
4. a statement of purpose
5. a resume or curriculum vitae
6. a writing sample
7. proof of English proficiency",Required,True,False,False,False,False,False,,,program,
