Concentration name,description,program website url,Accreditation status,level,Program name,Program Page url,Level
"Fluid Mechanics, Structural and Solid Mechanics, and Systems and Control",The Mechanical and Aerospace Engineering Department offers Graduate programs leading to the degrees of Master of Science (M.S.) and Doctor of Philosophy (Ph.D.) in Mechanical and Aerospace Engineering. The graduate program is designed for students to develop a strong foundation in their major field of study and to engage in original research.,https://www.mae.ucla.edu/graduate-degrees/,,Masters,Master of Science in Aerospace Engineering,https://www.mae.ucla.edu/graduate-admissions/,
"Fluid mechanics; Manufacturing and design; Structural and solid mechanics; Systems, dynamics and control; and Heat and mass transfer","The Department of Mechanical and Aerospace Engineering offers curricula in mechanical engineering and aerospace engineering. In addition to the requirements of the Graduate Division, students must fulfill the requirements of the department. Requirements for the M.S. and Ph.D. degrees in aerospace engineering and mechanical engineering include core courses and elective courses, a thesis (for the M.S. degree) or dissertation (for the Ph.D. degree), and various examinations. Students in the M.S. and Ph.D. programs may specialize in the following major fields: Fluid mechanics; Manufacturing and design; Structural and solid mechanics; Systems, dynamics and control; and Heat and mass transfer.",https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/mechanical-aerospace-engineering-department/,,,PhD in Aerospace Engineering,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/mechanical-aerospace-engineering-department/,
"African American Social Sciences, African American Humanities, African Diasporic Studies","The Department of African American Studies and the UCLA School of Law offer a joint degree program (M.A./J.D.) that allows students to complete both degrees in four years. The program is designed for students who wish to pursue a career in law and have a strong interest in African American Studies. The joint degree program provides a comprehensive and interdisciplinary approach to the study of the history, culture, and social conditions of people of African descent, and the legal issues that affect these communities. Students will gain a deep understanding of the intersection of law and race, and will be prepared for careers in law, public policy, advocacy, and academia.",https://afam.ucla.edu/academics/graduate-study/m-a-j-d-program/,,,Master of Arts in African American Studies,https://afam.ucla.edu/academics/graduate-study/m-a-j-d-program/,M.A./J.D.
,"The program is designed to provide students with a broad knowledge of the African continent and its peoples. It is intended for students who wish to pursue careers in international organizations, government, business, and non-profit organizations, as well as for those who plan to pursue further graduate study in a specific discipline.",http://www.international.ucla.edu/africa/,,,Master of Arts in African Studies,https://grad.ucla.edu/programs/international-institute/african-studies/,
,"The M.A. in American Indian Studies is an interdisciplinary program designed to provide students with a comprehensive understanding of the history, culture, and contemporary issues of American Indian and other Indigenous peoples. The program’s curriculum is built on a foundation of interdisciplinary study, drawing on the humanities, social sciences, and other fields. Students learn to critically evaluate scholarly research, develop their own research projects, and engage in meaningful ways with American Indian communities and organizations. The program prepares students for careers in academia, tribal government, public service, and other fields, as well as for further doctoral-level study.",https://ais.ucla.edu/academics/ma-program/,,,Master of Arts in American Indian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
"Sociocultural anthropology, archaeology, biological anthropology, linguistic anthropology, medical anthropology","The Department of Anthropology offers the Master of Arts (M.A.) and Doctor of Philosophy (Ph.D.) degrees in Anthropology. Although students may be admitted to the M.A. degree program, the department essentially directs its program toward the Ph.D. degree. The department offers students specializing in sociocultural anthropology, archaeology, biological anthropology, and linguistic anthropology the opportunity to work towards the M.A. and Ph.D. degrees. In addition to these four subfields, the department offers specialized training in medical anthropology.",https://www.anthro.ucla.edu,,,Master of Arts in Anthropology,https://grad.ucla.edu/programs/social-sciences/anthropology/,
"Archaeology, Biological Anthropology, Linguistic Anthropology, and Sociocultural Anthropology","The Ph.D. program in anthropology at UCLA is designed to provide students with a comprehensive understanding of the four major subfields of anthropology. Students choose one of four fields of study (subfields): Archaeology, Biological Anthropology, Linguistic Anthropology, and Sociocultural Anthropology. All doctoral students must fulfill certain departmental requirements, although the requirements for each subfield vary slightly. All students must pass a written and oral qualifying examination to advance to candidacy and then research and write a dissertation of original research.",https://anthro.ucla.edu/graduate/,,,PhD in Anthropology,https://anthro.ucla.edu/,PhD
,The Master of Applied Economics (MAE) is a STEM-designated professional master's degree program designed for students who want to build a solid foundation in economic theory and then apply that theory to real-world problems. The program emphasizes the development of quantitative skills and the application of economic principles to a wide range of policy and business issues. This intensive nine-month program is intended for students seeking to enhance their analytical and quantitative skills for careers in the private or public sectors.,https://master.econ.ucla.edu/,,,Master of Applied Economics,https://grad.ucla.edu/requirements/?app=admission&major=009Q,
,"The graduate program in Applied Linguistics offers the Master of Arts (M.A.) and Doctor of Philosophy (Ph.D.) degrees. The program emphasizes the study of language as a social and cognitive phenomenon, with particular emphasis on language learning, use, and teaching. The curriculum is designed to provide students with a solid foundation in the core areas of applied linguistics, including discourse analysis, language acquisition, language assessment, and language pedagogy.",https://www.alc.ucla.edu/graduate/applied-linguistics/,,,Master of Arts in Applied Linguistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
,,https://grad.ucla.edu/programs/social-sciences/applied-linguistics/,,,PhD in Applied Linguistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
,"The Master of Applied Statistics and Data Science (MASDS) program is designed for students who are interested in careers in data science, statistics, and related fields. The program provides students with a solid foundation in statistical theory and methods, as well as the computational skills necessary to analyze large and complex datasets. The curriculum is designed to be practical and application-oriented, with a focus on real-world problems and data.",https://statistics.ucla.edu/academics/graduate/masds/,,,Master of Applied Statistics,https://grad.ucla.edu/programs/physical-sciences/statistics-and-data-science-department/statistics-master-of-applied-statistics-and-data-science/,Masters
