Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,error
Required,Required,"Describe your specific career goals and objectives, the decision to pursue an advanced degree, and other information that may be useful to the admissions committee. [1]",Not Required,False,True,,True,False,False,,,program,Master of Science in Aerospace Engineering,https://www.gatech.edu/academics/masters-degree-programs,
Required,Required,"Well-qualified individuals who have earned an undergraduate degree in aerospace engineering or a related field, are encouraged to apply. [10] Admission decisions are made throughout the year. [10] All applications are processed by Georgia Tech's Office of Graduate Admissions. [10]",Not Required,False,True,,True,False,False,,,program,Master of Science in Aerospace Engineering – Online Degree,https://www.gatech.edu/academics/masters-degree-programs,
Required,Required,"For admission into the applied systems engineering program, all applicants are expected to have:

*   A bachelor's degree in math, hard science (like biology, chemistry, physics, etc.) or engineering from an accredited college or university. [2]
*   GPA of at least 3.0. [2]
*   Five years of technically relevant professional work experience (which may include internships, technically-related summer and/or part-time positions, as well as participation in a cooperative education program). [2]

Applications are submitted electronically and you will need to upload official transcripts from each institution attended. [2] An interview may also be required as part of the application process. [3]",Not Required,True,False,,True,False,False,,,program,Professional Master's in Applied Systems Engineering,https://www.gatech.edu/academics/masters-degree-programs,
Required,Required,"All applicants for the on-campus Master of Science in Analytics program must hold a four-year bachelor's degree or its equivalent. A foundational background in mathematics and computing is expected, which includes at least one college-level course or equivalent knowledge in Calculus, Probability/Statistics, and Basic Linear Algebra. [2] Additionally, proficiency in a high-level programming language such as C, C++, Java, Python, or FORTRAN is required. [2] The application package must include three letters of recommendation. [2]",Not Required,False,False,False,True,False,False,,,program,Master of Science in Analytics,https://www.gatech.edu/academics/masters-degree-programs,
,,,,False,False,,False,False,False,,,institute,Master of Science in Analytics — Online Degree,https://www.gatech.edu/academics/masters-degree-programs,
Not Required,Required,"Application requirements for the M.S. in Applied Languages and Intercultural Studies include a Statement of Purpose, two letters of recommendation, and a language proficiency assessment. [4] The statement of purpose should describe the applicant's suitability for the program, reasons for pursuing the degree, relevant abilities or skills, topics of interest for investigation, and how the degree aligns with professional and academic goals, with a maximum of 4000 characters. [4] Two letters of recommendation should be from a teacher, advisor, or employer who can evaluate the applicant's academic potential, motivations, and interests; one letter should be from a language instructor or someone who can directly address the applicant's language skills. [4] After the application is submitted, all applicants will be invited to complete an online video interview for language proficiency assessment. [4] GRE scores are not required. [4]",Optional,True,False,,False,False,False,,,program,Master of Science in Applied Languages and Intercultural Studies,https://www.gatech.edu/academics/masters-degree-programs,
,,,,,,,,,,,,error,Master of Architecture,https://www.gatech.edu/academics/masters-degree-programs,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
Required,Required,"Applicants should have an undergraduate degree in Engineering, Science, Medicine, or Business with a grade-point average (GPA) of at least 3.0 overall. [12] Relevant experience in industry or through internships is considered a plus. [12]",Not Required,True,False,,True,False,False,,,program,Master of Science in Biomedical Engineering,https://www.gatech.edu/academics/masters-degree-programs,
,Required,"To be competitive, you should have an undergraduate degree in any of the following: Engineering, Science, Medicine or Business. A grade-point average (GPA) of at least 3.0 overall with a 3.25 in your undergraduate major. Relevant experience in industry or through internships will be a plus. [2]",Not Required,True,False,,True,False,False,,,program,Master of Biomedical Innovation and Development,https://www.gatech.edu/academics/masters-degree-programs,
Required,Required,"A complete Full-time MBA online application includes an application fee and required essays, resume demonstrating post-graduate work experience, transcript from each college/university attended, two letters of recommendation, and official GMAT, GMAT Focus, or GRE scores from within the past five years (unless applying without scores under our test-optional admissions policy). [9]",Not Required,False,True,False,True,False,False,,,program,Master of Business Administration (MBA),https://www.gatech.edu/academics/masters-degree-programs,
